item_id,site_id,created,updated,brand,category1,category2,gender,season,status,selling_status,image_url,product_name
181001,2138247,2021-07-14,2021-08-03,brand_name,상의,티셔츠,MALE,"[""SPRING"",""SUMMER""]",VALID,VALID,https://example.com/181001.png,오버핏 반팔 티셔츠
181002,2138247,2021-06-02,2021-06-28,brand_name,하의,팬츠,MALE,"[""SPRING"",""SUMMER""]",VALID,VALID,https://example.com/181002.png,와이드 팬츠
181003,2138247,2021-07-21,2021-07-30,brand_name,하의,쇼츠,MALE,"[""SUMMER""]",VALID,VALID,https://example.com/181003.png,버뮤다 쇼츠
181004,2138247,2021-05-17,2021-06-11,brand_name,신발,스니커즈,MALE,"[""SUMMER""]",VALID,VALID,https://example.com/181004.png,화이트 스니커즈
181005,2138247,2021-08-09,2021-08-25,brand_name,상의,셔츠,MALE,"[""SUMMER""]",VALID,VALID,https://example.com/181005.png,린넨 셔츠
181006,2138247,2021-04-13,2021-05-01,brand_name,하의,팬츠,MALE,"[""SUMMER""]",VALID,VALID,https://example.com/181006.png,카고 팬츠
181007,2138247,2021-07-05,2021-07-19,brand_name,신발,샌들,UNISEX,"[""SUMMER""]",VALID,VALID,https://example.com/181007.png,레더 샌들
181008,2138247,2021-11-02,2021-11-18,brand_name,아우터,코트,MALE,"[""WINTER""]",VALID,VALID,https://example.com/181008.png,울 코트
181009,2138247,2021-08-01,2021-08-14,brand_name,상의,니트,MALE,"[""WINTER""]",VALID,VALID,https://example.com/181009.png,라운드 니트
181010,2138247,2021-10-23,2021-11-07,brand_name,하의,팬츠,MALE,"[""SUMMER""]",VALID,VALID,https://example.com/181010.png,울 팬츠
181011,2138247,2021-07-11,2021-07-23,brand_name,신발,슬립온,MALE,"[""SUMMER""]",VALID,VALID,https://example.com/181011.png,블랙 슬립온
181012,2138247,2021-07-08,2021-07-09,brand_name,신발,구두,MALE,"[""SUMMER""]",VALID,VALID,https://example.com/181012.png,콤포트 더비
